"","female","tree","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","total_days_alive","fate","X","CommonName","sciName","Location","location","preferred_hostGenus","MA_native","westernMA_native","cultivated","hybrid_cultivar","edible","tip_label","distance","tree_type"
"58","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"59","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"60","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"61","A","F",1,1,1,1,1,1,0,0,0,0,0,6,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"62","A","F",1,1,1,1,0,0,0,0,0,0,0,4,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"63","A","F",1,1,1,0,0,0,0,0,0,0,0,3,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"64","A","F",1,1,1,0,0,0,0,0,0,0,0,3,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"65","A","F",1,1,0,0,0,0,0,0,0,0,0,2,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"66","A","F",1,1,0,0,0,0,0,0,0,0,0,2,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"67","A","F",1,1,0,0,0,0,0,0,0,0,0,2,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"68","A","F",1,1,0,0,0,0,0,0,0,0,0,2,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"69","A","F",1,0,0,0,0,0,0,0,0,0,0,1,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"70","A","F",1,0,0,0,0,0,0,0,0,0,0,1,2,7,"Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no",38451,53.06,"Nonnative Cherry"
"71","A","G",1,1,1,1,1,1,1,1,1,1,1,11,1,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"72","A","G",1,1,1,1,1,1,1,1,1,1,0,10,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"73","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"74","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"75","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"76","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"77","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"78","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"79","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"80","A","G",1,1,1,0,0,0,0,0,0,0,0,3,2,8,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no",38504,53.06,"Nonnative Cherry"
"81","A","H",1,1,1,1,1,1,1,1,1,1,1,11,1,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"82","A","H",1,1,1,1,1,1,1,0,0,0,0,7,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"83","A","H",1,1,1,0,0,0,0,0,0,0,0,3,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"84","A","H",1,1,1,0,0,0,0,0,0,0,0,3,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"85","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"86","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"87","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"88","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"89","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"90","A","H",1,1,0,0,0,0,0,0,0,0,0,2,2,9,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no",38508,53.06,"Nonnative Cherry"
"91","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"92","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"93","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"94","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"95","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"96","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"97","B","A",1,1,1,1,1,1,1,1,0,0,0,8,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"98","B","A",1,1,1,1,1,0,0,0,0,0,0,5,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"99","B","A",1,0,0,0,0,0,0,0,0,0,0,1,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"100","B","A",1,0,0,0,0,0,0,0,0,0,0,1,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"101","B","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"102","B","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"103","B","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"104","B","B",1,1,1,1,1,1,1,1,1,1,0,10,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"105","B","B",1,1,1,1,1,1,1,1,1,1,0,10,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"106","B","B",1,1,1,1,1,1,1,1,1,1,0,10,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"107","B","B",1,1,1,1,1,1,1,0,0,0,0,7,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"108","B","B",1,1,0,0,0,0,0,0,0,0,0,2,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"109","B","B",1,1,0,0,0,0,0,0,0,0,0,2,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"110","B","B",1,1,0,0,0,0,0,0,0,0,0,2,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"111","B","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"112","B","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"113","B","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"114","B","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
